INDEX 	 LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
27478 	 -41.6824 	 -22.2268 	 25.28 	 978748.39
27479 	 -41.6447 	 -22.2274 	 30.04 	 978748.51
27480 	 -41.6497 	 -22.2686 	 14.05 	 978755.08
27481 	 -41.604 	 -22.2589 	 14.09 	 978757.79
27482 	 -41.6806 	 -22.2623 	 45.17 	 978746.22
27483 	 -41.729 	 -22.2696 	 29.53 	 978748.23
27484 	 -41.6964 	 -22.3043 	 14.15 	 978756.51
27485 	 -41.7715 	 -22.3034 	 11.78 	 978754.37
27486 	 -42.3882 	 -22.8935 	 10.87 	 978803.39
27487 	 -42.3517 	 -22.9226 	 12.05 	 978814.63
27488 	 -42.3283 	 -22.9148 	 11.16 	 978814.87
27489 	 -42.3132 	 -22.9288 	 11.97 	 978819.82
27490 	 -42.2752 	 -22.9111 	 10.68 	 978819.61
27491 	 -42.2634 	 -22.9256 	 19.85 	 978822.04
27492 	 -42.2355 	 -22.9311 	 14.61 	 978825.85
27493 	 -44.3412 	 -22.2601 	 917.21 	 978506.82
27494 	 -44.3196 	 -22.2992 	 611.42 	 978573.24
27495 	 -44.3484 	 -22.327 	 510.99 	 978594.8
27496 	 -44.3963 	 -22.3388 	 464.79 	 978604.03
27497 	 -44.4172 	 -22.3194 	 614.8 	 978568.04
27498 	 -44.4022 	 -22.3263 	 497.44 	 978593.95
27499 	 -44.2407 	 -22.2886 	 626.54 	 978572.4
27500 	 -44.2231 	 -22.3 	 605.63 	 978578.83
27501 	 -44.1903 	 -22.3027 	 684.66 	 978564.82
27502 	 -44.1804 	 -22.273 	 505.62 	 978595.65
27503 	 -44.1622 	 -22.2471 	 588.08 	 978577.35
27504 	 -44.143 	 -22.2575 	 661.44 	 978565.77
27505 	 -44.1353 	 -22.3213 	 668.9 	 978576.15
27506 	 -44.1332 	 -22.3593 	 521.09 	 978606.69
27507 	 -44.1477 	 -22.397 	 455.52 	 978620.0
27508 	 -44.1728 	 -22.4186 	 463.04 	 978617.69
27509 	 -44.1029 	 -22.4035 	 521.71 	 978610.81
27510 	 -44.1145 	 -22.4401 	 447.72 	 978628.12
27511 	 -44.1305 	 -22.4486 	 437.85 	 978629.89
27512 	 -44.1291 	 -22.4612 	 469.4 	 978626.26
27513 	 -44.0947 	 -22.4743 	 420.03 	 978639.74
27514 	 -44.2409 	 -22.4937 	 378.72 	 978637.51
27515 	 -44.4422 	 -22.3592 	 447.82 	 978606.84
27516 	 -44.4921 	 -22.3533 	 544.35 	 978582.68
27517 	 -44.1172 	 -22.2536 	 583.38 	 978581.06
27518 	 -44.0874 	 -22.2384 	 551.49 	 978587.0
27519 	 -44.06 	 -22.2307 	 605.46 	 978576.76
27520 	 -44.037 	 -22.2457 	 628.36 	 978576.4
27521 	 -44.0899 	 -22.1861 	 464.91 	 978598.51
27522 	 -44.072 	 -22.1702 	 453.02 	 978599.99
27523 	 -44.0131 	 -22.1671 	 452.48 	 978601.37
27524 	 -43.9535 	 -22.1819 	 451.86 	 978605.87
27525 	 -43.9817 	 -22.1675 	 586.4 	 978575.62
27526 	 -44.0499 	 -22.255 	 589.09 	 978583.17
27527 	 -44.0245 	 -22.2608 	 686.26 	 978568.04
27528 	 -43.9825 	 -22.2595 	 810.75 	 978548.29
27529 	 -43.9709 	 -22.248 	 815.23 	 978545.15
27530 	 -43.9446 	 -22.2431 	 667.74 	 978576.44
27531 	 -43.9433 	 -22.2716 	 640.68 	 978584.52
27532 	 -43.9035 	 -22.2682 	 515.27 	 978611.02
27533 	 -43.892 	 -22.2234 	 786.55 	 978553.49
27534 	 -43.8946 	 -22.2739 	 871.45 	 978533.9
27535 	 -43.9266 	 -22.3017 	 520.41 	 978615.27
27536 	 -43.9124 	 -22.3285 	 624.97 	 978602.23
27537 	 -43.9211 	 -22.3511 	 712.41 	 978588.0
27538 	 -43.8935 	 -22.3556 	 711.53 	 978590.09
27539 	 -43.9085 	 -22.488 	 366.99 	 978652.23
27540 	 -44.0611 	 -22.4744 	 368.95 	 978652.16
27541 	 -44.0171 	 -22.477 	 374.18 	 978650.6
27542 	 -43.9757 	 -22.4818 	 378.46 	 978648.52
27543 	 -43.9407 	 -22.491 	 358.67 	 978654.03
27544 	 -43.9421 	 -22.5159 	 358.11 	 978657.05
27545 	 -43.9221 	 -22.545 	 444.32 	 978645.73
27546 	 -43.9157 	 -22.5412 	 442.17 	 978644.37
27547 	 -43.9108 	 -22.5486 	 446.33 	 978645.57
27548 	 -43.9948 	 -22.5184 	 358.79 	 978654.33
27549 	 -44.0075 	 -22.5235 	 443.58 	 978635.87
27550 	 -44.0756 	 -22.5764 	 488.72 	 978633.1
27551 	 -42.2228 	 -22.8986 	 11.15 	 978820.73
27552 	 -42.1568 	 -22.9152 	 10.69 	 978829.98
27553 	 -42.1722 	 -22.914 	 10.49 	 978828.83
27554 	 -41.8579 	 -22.1438 	 47.6 	 978727.04
27555 	 -41.887 	 -22.1584 	 126.0 	 978709.52
27556 	 -41.8193 	 -22.1824 	 30.17 	 978738.49
27557 	 -41.844 	 -22.1979 	 25.02 	 978738.3
27558 	 -41.8758 	 -22.1998 	 36.0 	 978733.51
27559 	 -41.9017 	 -22.2306 	 21.43 	 978738.56
27560 	 -41.9309 	 -22.2626 	 32.35 	 978737.1
27561 	 -41.8978 	 -22.2734 	 15.11 	 978743.79
27562 	 -41.9376 	 -22.2329 	 24.03 	 978736.8
27563 	 -41.9376 	 -22.1933 	 49.13 	 978726.18
27564 	 -42.3861 	 -22.8714 	 33.28 	 978793.94
27565 	 -42.4269 	 -22.8636 	 33.66 	 978788.47
27566 	 -42.4641 	 -22.8645 	 38.11 	 978787.94
27567 	 -42.4862 	 -22.9313 	 16.83 	 978805.39
27568 	 -42.4377 	 -22.9251 	 16.65 	 978805.69
27569 	 -42.4052 	 -22.9343 	 17.94 	 978810.7
27570 	 -42.5237 	 -22.9318 	 13.61 	 978804.95
27571 	 -42.5612 	 -22.9316 	 10.98 	 978804.03
27572 	 -42.6024 	 -22.9328 	 15.48 	 978801.9
27573 	 -42.5981 	 -22.9027 	 17.88 	 978798.34
27574 	 -41.7748 	 -22.2747 	 23.64 	 978747.64
27575 	 -41.8114 	 -22.3102 	 10.26 	 978753.63
27576 	 -41.9742 	 -22.3687 	 35.49 	 978741.34
27577 	 -42.014 	 -22.4052 	 25.55 	 978745.6
27578 	 -42.0708 	 -22.3941 	 34.22 	 978740.45
27579 	 -42.0743 	 -22.35 	 46.7 	 978727.93
27580 	 -42.5096 	 -22.8953 	 20.04 	 978798.23
27581 	 -42.544 	 -22.8948 	 13.58 	 978799.15
27582 	 -42.6604 	 -22.9282 	 21.27 	 978795.16
27583 	 -42.6855 	 -22.9443 	 30.14 	 978798.72
27584 	 -42.6901 	 -22.9604 	 71.32 	 978791.24
27585 	 -42.7301 	 -22.9556 	 16.02 	 978800.22
27586 	 -42.7541 	 -22.9565 	 17.85 	 978799.19
27587 	 -42.8141 	 -22.9603 	 19.47 	 978800.98
27588 	 -42.8557 	 -22.9607 	 19.79 	 978802.75
27589 	 -42.896 	 -22.9654 	 17.92 	 978803.42
27590 	 -42.9295 	 -22.9737 	 17.05 	 978805.93
27591 	 -42.1844 	 -22.434 	 58.38 	 978733.88
27592 	 -42.149 	 -22.4287 	 51.2 	 978735.27
27593 	 -42.2234 	 -22.4325 	 216.78 	 978699.85
27594 	 -42.2154 	 -22.3923 	 156.0 	 978703.89
27595 	 -42.2274 	 -22.3599 	 296.09 	 978675.38
27596 	 -42.1966 	 -22.344 	 272.22 	 978677.82
27597 	 -42.1754 	 -22.3188 	 398.06 	 978649.66
27598 	 -42.1566 	 -22.2669 	 502.73 	 978624.34
27599 	 -42.1433 	 -22.2363 	 678.93 	 978591.01
27600 	 -42.1184 	 -22.2598 	 418.51 	 978640.92
27601 	 -42.2105 	 -22.6228 	 62.8 	 978752.13
27602 	 -42.2123 	 -22.6305 	 26.18 	 978760.59
27603 	 -42.1847 	 -22.6491 	 37.24 	 978761.49
27604 	 -42.2113 	 -22.6772 	 32.89 	 978766.53
27605 	 -42.1957 	 -22.6886 	 57.19 	 978763.44
27606 	 -42.1576 	 -22.6729 	 28.42 	 978769.51
