        generated_by     ICGEM (hosted at GFZ-Potsdam)
     generating_date     2019/08/30
----------------------------------------------------------------------
           modelname     EIGEN-6C4
     max_used_degree          2190
----------------------------------------------------------------------
         tide_system     tide_free
    zero_degree_term     included
----------------------------------------------------------------------
          refsysname     WGS84
   max_degree_refpot             8
            gmrefpot      3.98600441800E+14[m**3/s**2]
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
----------------------------------------------------------------------
    number_of_points           607
      latlimit_north      -1.2011000000000    
      latlimit_south      -6.5519000000000    
      longlimit_west      -47.960600000000    
      longlimit_east      -41.900100000000    
----------------------------------------------------------------------
description of columns -----------------------------------------------
 1 identifier (from input)
 2 longitude  (from input)    [degree]
 3 latitude   (from input)    [degree]
 4 h_over_ell (from input)     [meter]
 -------------------------------------
321          -46.01060000   -1.52700000  1.519000E+01  9.780235762475E+05
322          -45.19610000   -3.62310000  1.033000E+01  9.779893589568E+05
323          -44.81190000   -2.95420000 -7.010000E+00  9.780052052411E+05
324          -43.72000000   -3.59440000  9.670000E+00  9.780323508171E+05
325          -46.43940000   -4.32470000 -1.273000E+01  9.780055904926E+05
326          -46.16110000   -4.55530000  2.640900E+02  9.779440457513E+05
327          -42.94920000   -3.91110000  9.500000E+01  9.780110037895E+05
328          -42.97580000   -3.76330000  8.492000E+01  9.780130527704E+05
329          -42.94940000   -4.01390000  3.120000E+01  9.780277794176E+05
330          -45.04390000   -3.58310000 -7.520000E+00  9.779949227478E+05
331          -45.22250000   -3.58440000 -6.840000E+00  9.779901392038E+05
332          -45.06000000   -3.16000000 -5.020000E+00  9.780000379989E+05
333          -46.03310000   -1.25830000  5.310000E+00  9.780470985603E+05
334          -44.96890000   -3.58220000  1.600000E-01  9.779894004227E+05
335          -44.94440000   -4.09330000  6.790000E+00  9.780165536592E+05
336          -44.59470000   -3.29170000 -8.520000E+00  9.779875542313E+05
337          -44.87610000   -2.60560000 -5.290000E+00  9.779619783681E+05
338          -44.93780000   -2.66720000  3.640000E+00  9.779662787517E+05
339          -44.83530000   -2.70360000 -1.234000E+01  9.779865961204E+05
340          -44.46530000   -5.42080000  1.149600E+02  9.780138472589E+05
341          -47.38970000   -6.40500000  1.182900E+02  9.780298495923E+05
342          -47.39690000   -6.44470000  1.365500E+02  9.780234130642E+05
343          -47.40170000   -6.53110000  1.529800E+02  9.780189067311E+05
344          -42.25230000   -2.86250000  1.660000E+00  9.779751165027E+05
345          -42.30810000   -2.89610000 -1.189000E+01  9.779867881080E+05
346          -42.54040000   -2.72060000 -1.839000E+01  9.779644133049E+05
347          -43.52880000   -3.33430000  1.149000E+01  9.780447446443E+05
348          -45.85780000   -4.07910000  1.947000E+01  9.779935599751E+05
349          -46.21690000   -4.28670000  2.384200E+02  9.779409732108E+05
350          -46.24980000   -4.30780000  2.454900E+02  9.779386992871E+05
351          -46.34790000   -4.32910000  2.379400E+02  9.779322828985E+05
352          -46.36210000   -4.34280000  2.209900E+02  9.779356370192E+05
353          -46.51240000   -4.30750000  1.626600E+02  9.779517796224E+05
354          -46.78620000   -4.43890000  1.674100E+02  9.779595568527E+05
355          -46.82680000   -4.45000000  1.690500E+02  9.779588789529E+05
356          -46.87400000   -4.51420000  1.468900E+02  9.779664188790E+05
357          -46.91240000   -4.58440000  1.463800E+02  9.779672139502E+05
358          -46.94250000   -4.61480000  8.177000E+01  9.779868596924E+05
359          -46.96860000   -4.66300000  1.670700E+02  9.779617194237E+05
360          -47.54650000   -5.12710000  2.820700E+02  9.779842900931E+05
361          -47.35870000   -5.81610000  1.178000E+02  9.780123286833E+05
362          -47.35890000   -5.86430000  1.110600E+02  9.780147214862E+05
363          -47.38190000   -6.08190000  1.077300E+02  9.780234831856E+05
364          -44.65310000   -4.21280000 -1.080000E+00  9.780120264146E+05
365          -45.25780000   -3.52640000 -1.217000E+01  9.779870219491E+05
366          -47.38060000   -6.37110000  1.300000E+02  9.780273340519E+05
367          -47.38750000   -6.51440000  1.215700E+02  9.780295813982E+05
